ID,logFC,Pvalue
REXO2,-0.189291645,0.3797773
RBM7,1.317986547,0.707996816
RBMS2,-0.359322045,0.247731168
BAZ2A,0.014182213,0.742230203
PTPN23,0.50454797,0.251061899
MLH1,-0.138656602,0.003840758
UNG,-0.434179524,0.027107708
SPAG5,-0.327501149,0.034981027
ANKRD13A,-0.260818535,0.035681748
TPD52,-0.475265822,0.307590575
PAG1,0.351244817,0.275692745
GPATCH1,0.881402278,0.892364507
NT5C2,-1.049573104,0.002342778
ARHGEF1,0.398449105,0.056344855
STXBP2,1.359624774,0.002420644
MAP2K7,-0.863420845,0.250494316
TOP2B,0.235890195,0.056498136
TM9SF3,0.984165262,0.319758574
NFKB2,0.099871587,0.115048213
UBE2T,0.370520167,0.432622316
DNAJC10,-0.989453045,0.087636317
GTF3C1,-1.333571374,0.005305138
USP33,-0.072680725,0.092316181
SNRPA,0.49413647,0.085522287
EXOSC5,-0.597132459,0.127676866
DYNC1I2,1.549746866,0.310268134
APBB1IP,-0.538437368,6.69E-08
LRCH4,0.044485056,0.108437588
FAM76B,0.048370563,0.779856723
SIRT6,-0.176296753,0.742117367
POLD3,1.022389165,0.745388346
CAPZB,0.111586248,0.150603317
PIAS2,-1.088511507,0.027988137
MCCC1,-0.424397452,0.069216147
NEBL,-0.508072141,0.317697004
UBE2K,0.367504869,0.253941521
PIK3C3,0.075173648,0.018870033
C12orf5,-0.007726121,0.013606898
SYNJ2,0.833299414,0.947900522
PPP2R5C,-0.739217252,0.019704292
GNB1,1.347562593,0.167750718
NRD1,0.211035062,0.020892639
VDAC3,0.259589477,0.135684073
PCM1,0.118213745,0.961821411
TNRC6C,-0.488966102,0.019811263
ITCH,-0.278584639,0.002443655
SDF4,0.365272472,0.101949647
TOLLIP,-0.521465034,0.51896004
THOC1,-1.014207228,0.002046617
FKBP7,-0.394960777,0.286379087
OSBPL6,-0.7858705,0.039872223
XRCC5,0.685210921,0.000364757
LXN,-0.189985413,0.412413462
SAR1A,-0.015470175,1.30E-06
SENP1,-0.313830358,0.630144034
CIC,-0.184443144,0.675162812
LIPE,-0.492735281,0.085901187
FDFT1,-0.0244095,0.122513917
PAFAH1B3,0.808361287,0.048685011
KIF22,-0.004614008,0.093023267
LRRC16A,0.089449326,0.023316066
PGM1,1.776305216,1.17E-08
DDX1,2.123612875,0.879047668
DNM2,1.067397532,0.027107431
EPB41L2,1.92036032,0.125858709
MOXD1,-0.8064245,0.277995289
STX7,1.06857974,0.199657368
KEAP1,0.666914836,0.0459524
CRYBG3,0.061592701,0.145344183
RIF1,-0.471348023,4.51E-05
RAB21,-0.738560297,0.000121193
SMARCA2,-0.124228164,0.128716264
SRCAP,-0.677502091,0.309299939
KIAA0020,-0.130339186,0.000987027
CNOT4,-0.657152938,0.023571285
PSEN1,0.489880385,0.969922313
CPOX,0.124139736,0.45993408
CLDND1,0.292352282,0.432351879
HSP90AA1,1.293397117,1.31E-11
RBL1,-0.633526379,0.148716677
DLGAP4,-0.506789436,0.119507593
NDC80,-0.611437002,0.180779863
AP4E1,-0.143651345,0.812996637
MAGI3,-0.503654207,0.054051941
OSTM1,0.057589623,0.534528976
PCNP,-0.470217458,0.031843593
EXD2,-0.393254376,0.103740152
ARG2,-0.49878081,0.000273224
MEF2C,1.765482118,0.475318386
UBA5,0.105006241,0.574545426
